seqname	start	end	strand	ENSID	gene_id	gene_name	hgnc_id	havana_gene
chr1	1425871	1430255	+	ENSG00000205116.4	ENSG00000205116.4	TMEM88B	HGNC:37099	OTTHUMG00000153395.3
chr1	1434861	1442882	+	ENSG00000179403.12	ENSG00000179403.12	VWA1	HGNC:30910	OTTHUMG00000002975.6
chr1	1449689	1470163	+	ENSG00000215915.10	ENSG00000215915.10	ATAD3C	HGNC:32151	OTTHUMG00000000531.8
chr1	1471765	1497848	+	ENSG00000160072.20	ENSG00000160072.20	ATAD3B	HGNC:24007	OTTHUMG00000000577.6
chr1	1512162	1534685	+	ENSG00000197785.14	ENSG00000197785.14	ATAD3A	HGNC:25567	OTTHUMG00000000575.7
chr1	1534778	1540624	-	ENSG00000205090.10	ENSG00000205090.10	TMEM240	HGNC:25186	OTTHUMG00000042193.4
chr1	1541673	1574863	-	ENSG00000160075.12	ENSG00000160075.12	SSU72	HGNC:25016	OTTHUMG00000000576.6
chr1	1598012	1600135	-	ENSG00000228594.4	ENSG00000228594.4	FNDC10	HGNC:42951	OTTHUMG00000154864.5
chr1	1615454	1630605	+	ENSG00000197530.13	ENSG00000197530.13	MIB2	HGNC:30577	OTTHUMG00000074647.10
chr1	1632163	1635263	+	ENSG00000189409.14	ENSG00000189409.14	MMP23B	HGNC:7171	OTTHUMG00000074713.7
chr1	1635225	1659012	-	ENSG00000248333.9	ENSG00000248333.9	CDK11B	HGNC:1729	OTTHUMG00000078638.6
chr1	1659529	1692795	-	ENSG00000189339.12	ENSG00000189339.12	SLC35E2B	HGNC:33941	OTTHUMG00000078639.4
chr1	1702379	1724357	-	ENSG00000008128.23	ENSG00000008128.23	CDK11A	HGNC:1730	OTTHUMG00000000703.16
chr1	1751232	1780457	-	ENSG00000008130.15	ENSG00000008130.15	NADK	HGNC:29831	OTTHUMG00000000942.6
chr1	1785285	1892292	-	ENSG00000078369.19	ENSG00000078369.19	GNB1	HGNC:4396	OTTHUMG00000000940.9
chr1	1915108	1917296	+	ENSG00000169885.10	ENSG00000169885.10	CALML6	HGNC:24193	OTTHUMG00000000943.3
chr1	1917590	1919279	-	ENSG00000178821.13	ENSG00000178821.13	TMEM52	HGNC:27916	OTTHUMG00000000944.8
chr1	1921951	2003837	-	ENSG00000142609.20	ENSG00000142609.20	CFAP74	HGNC:29368	OTTHUMG00000000945.17
chr1	2019329	2030758	+	ENSG00000187730.9	ENSG00000187730.9	GABRD	HGNC:4084	OTTHUMG00000041064.6
chr1	2050411	2185395	+	ENSG00000067606.17	ENSG00000067606.17	PRKCZ	HGNC:9412	OTTHUMG00000001238.14
chr1	2184461	2212720	-	ENSG00000162585.17	ENSG00000162585.17	FAAP20	HGNC:26428	OTTHUMG00000001404.8
chr1	2227388	2310213	+	ENSG00000157933.11	ENSG00000157933.11	SKI	HGNC:10896	OTTHUMG00000001407.4
chr1	2321253	2391707	-	ENSG00000116151.14	ENSG00000116151.14	MORN1	HGNC:25852	OTTHUMG00000001402.7
chr1	2391775	2405442	+	ENSG00000157916.20	ENSG00000157916.20	RER1	HGNC:30309	OTTHUMG00000001403.6
chr1	2403964	2413797	-	ENSG00000157911.11	ENSG00000157911.11	PEX10	HGNC:8851	OTTHUMG00000001637.9
chr1	2425980	2505532	+	ENSG00000149527.18	ENSG00000149527.18	PLCH2	HGNC:29037	OTTHUMG00000000719.6
chr1	2508537	2526597	-	ENSG00000157881.16	ENSG00000157881.16	PANK4	HGNC:19366	OTTHUMG00000000791.7
chr1	2528745	2530263	-	ENSG00000197921.6	ENSG00000197921.6	HES5	HGNC:19764	OTTHUMG00000000793.2
chr1	2555639	2565382	+	ENSG00000157873.18	ENSG00000157873.18	TNFRSF14	HGNC:11912	OTTHUMG00000000792.18
chr1	2586491	2591469	+	ENSG00000157870.17	ENSG00000157870.17	PRXL2B	HGNC:28390	OTTHUMG00000000847.6
chr1	2590639	2633016	-	ENSG00000142606.16	ENSG00000142606.16	MMEL1	HGNC:14668	OTTHUMG00000000846.5
chr1	2636986	2801693	-	ENSG00000215912.13	ENSG00000215912.13	TTC34	HGNC:34297	OTTHUMG00000000539.10
chr1	3021467	3022903	+	ENSG00000169717.7	ENSG00000169717.7	ACTRT2	HGNC:24026	OTTHUMG00000000562.2
chr1	3069168	3438621	+	ENSG00000142611.17	ENSG00000142611.17	PRDM16	HGNC:14000	OTTHUMG00000000581.10
chr1	3454665	3481113	+	ENSG00000130762.15	ENSG00000130762.15	ARHGEF16	HGNC:15515	OTTHUMG00000000625.5
chr1	3487951	3611508	-	ENSG00000162591.17	ENSG00000162591.17	MEGF6	HGNC:3232	OTTHUMG00000000611.8
chr1	3625015	3630127	+	ENSG00000158109.15	ENSG00000158109.15	TPRG1L	HGNC:27007	OTTHUMG00000000609.2
chr1	3630767	3652761	-	ENSG00000116213.16	ENSG00000116213.16	WRAP73	HGNC:12759	OTTHUMG00000000612.6
chr1	3652516	3736201	+	ENSG00000078900.16	ENSG00000078900.16	TP73	HGNC:12003	OTTHUMG00000000610.7
chr1	3746460	3771645	+	ENSG00000162592.10	ENSG00000162592.10	CCDC27	HGNC:26546	OTTHUMG00000003504.5
chr1	3772749	3775982	+	ENSG00000235169.11	ENSG00000235169.11	SMIM1	HGNC:44204	OTTHUMG00000003505.7
chr1	3778559	3796498	-	ENSG00000130764.10	ENSG00000130764.10	LRRC47	HGNC:29207	OTTHUMG00000003506.4
chr1	3812086	3857396	-	ENSG00000116198.14	ENSG00000116198.14	CEP104	HGNC:24866	OTTHUMG00000003507.6
chr1	3857267	3885429	+	ENSG00000169598.17	ENSG00000169598.17	DFFB	HGNC:2773	OTTHUMG00000003525.6
chr1	3889125	3900293	-	ENSG00000198912.12	ENSG00000198912.12	C1orf174	HGNC:27915	OTTHUMG00000003739.2
chr1	4654609	4792534	+	ENSG00000196581.11	ENSG00000196581.11	AJAP1	HGNC:30801	OTTHUMG00000000645.7
chr1	5862811	5992473	-	ENSG00000131697.18	ENSG00000131697.18	NPHP4	HGNC:19104	OTTHUMG00000000701.7
chr1	5990927	6101193	+	ENSG00000069424.16	ENSG00000069424.16	KCNAB2	HGNC:6229	OTTHUMG00000000795.17
chr1	6101787	6180321	-	ENSG00000116254.18	ENSG00000116254.18	CHD5	HGNC:16816	OTTHUMG00000000952.7
chr1	6159430	6197757	-	ENSG00000285629.1	ENSG00000285629.1	ENSG00000285629	NA	OTTHUMG00000000953.6
chr1	6185020	6209389	-	ENSG00000116251.11	ENSG00000116251.11	RPL22	HGNC:10315	OTTHUMG00000193375.2
chr1	6205475	6221299	+	ENSG00000158286.13	ENSG00000158286.13	RNF207	HGNC:32947	OTTHUMG00000001089.5
chr1	6221193	6235972	-	ENSG00000116237.16	ENSG00000116237.16	ICMT	HGNC:5350	OTTHUMG00000001254.3
chr1	6244179	6245578	+	ENSG00000173673.9	ENSG00000173673.9	HES3	HGNC:26226	OTTHUMG00000001271.4
chr1	6247353	6261098	-	ENSG00000158292.7	ENSG00000158292.7	GPR153	HGNC:23618	OTTHUMG00000001272.3
chr1	6264269	6393767	-	ENSG00000097021.21	ENSG00000097021.21	ACOT7	HGNC:24157	OTTHUMG00000001295.8
chr1	6412418	6424670	-	ENSG00000069812.11	ENSG00000069812.11	HES2	HGNC:16005	OTTHUMG00000000752.2
chr1	6424776	6461367	+	ENSG00000187017.18	ENSG00000187017.18	ESPN	HGNC:13281	OTTHUMG00000000753.11
chr1	6460786	6466175	-	ENSG00000215788.11	ENSG00000215788.11	TNFRSF25	HGNC:11910	OTTHUMG00000000831.9
chr1	6467122	6520074	-	ENSG00000171680.23	ENSG00000171680.23	PLEKHG5	HGNC:29105	OTTHUMG00000000905.5
chr1	6521347	6554513	-	ENSG00000162408.11	ENSG00000162408.11	NOL9	HGNC:26265	OTTHUMG00000000904.2
chr1	6555307	6579755	+	ENSG00000173662.21	ENSG00000173662.21	TAS1R1	HGNC:14448	OTTHUMG00000001441.4
chr1	6579994	6589280	+	ENSG00000204859.13	ENSG00000204859.13	ZBTB48	HGNC:4930	OTTHUMG00000001438.5
chr1	6590724	6614607	-	ENSG00000162413.17	ENSG00000162413.17	KLHL21	HGNC:29041	OTTHUMG00000001437.3
chr1	6613731	6624030	+	ENSG00000116273.6	ENSG00000116273.6	PHF13	HGNC:22983	OTTHUMG00000001439.2
chr1	6624868	6635586	+	ENSG00000041988.16	ENSG00000041988.16	THAP3	HGNC:20855	OTTHUMG00000001440.3
chr1	6634168	6701924	-	ENSG00000007923.17	ENSG00000007923.17	DNAJC11	HGNC:25570	OTTHUMG00000001443.6
chr1	6785454	7769706	+	ENSG00000171735.21	ENSG00000171735.21	CAMTA1	HGNC:18806	OTTHUMG00000001212.7
chr1	7771296	7781432	+	ENSG00000049245.13	ENSG00000049245.13	VAMP3	HGNC:12644	OTTHUMG00000001225.4
chr1	7784291	7845177	+	ENSG00000049246.15	ENSG00000049246.15	PER3	HGNC:8847	OTTHUMG00000001216.3
chr1	7843083	7853512	-	ENSG00000049247.14	ENSG00000049247.14	UTS2	HGNC:12636	OTTHUMG00000001218.3
chr1	7915871	7943165	-	ENSG00000049249.10	ENSG00000049249.10	TNFRSF9	HGNC:11924	OTTHUMG00000001223.5
chr1	7954291	7985505	+	ENSG00000116288.13	ENSG00000116288.13	PARK7	HGNC:16369	OTTHUMG00000001210.4
chr1	8004404	8026309	-	ENSG00000116285.13	ENSG00000116285.13	ERRFI1	HGNC:18185	OTTHUMG00000001221.4
chr1	8318114	8344167	+	ENSG00000162426.16	ENSG00000162426.16	SLC45A1	HGNC:17939	OTTHUMG00000000503.6
chr1	8352397	8848921	-	ENSG00000142599.20	ENSG00000142599.20	RERE	HGNC:9965	OTTHUMG00000001765.9
chr1	8861000	8879190	-	ENSG00000074800.16	ENSG00000074800.16	ENO1	HGNC:3350	OTTHUMG00000001773.11
chr1	8945867	8975092	+	ENSG00000131686.15	ENSG00000131686.15	CA6	HGNC:1380	OTTHUMG00000001763.8
chr1	9002973	9026423	-	ENSG00000197241.4	ENSG00000197241.4	SLC2A7	HGNC:13445	OTTHUMG00000057499.4
chr1	9035106	9088478	-	ENSG00000142583.18	ENSG00000142583.18	SLC2A5	HGNC:11010	OTTHUMG00000001771.4
chr1	9100305	9129102	-	ENSG00000180758.12	ENSG00000180758.12	GPR157	HGNC:23687	OTTHUMG00000001758.6
chr1	9234774	9271337	+	ENSG00000049239.13	ENSG00000049239.13	H6PD	HGNC:4795	OTTHUMG00000001768.2
chr1	9292894	9369532	+	ENSG00000171621.14	ENSG00000171621.14	SPSB1	HGNC:30628	OTTHUMG00000001279.5
chr1	9539465	9585173	+	ENSG00000171612.7	ENSG00000171612.7	SLC25A33	HGNC:29681	OTTHUMG00000001322.3
chr1	9588911	9614877	+	ENSG00000188807.13	ENSG00000188807.13	TMEM201	HGNC:33719	OTTHUMG00000057457.3
chr1	9629889	9729114	+	ENSG00000171608.18	ENSG00000171608.18	PIK3CD	HGNC:8977	OTTHUMG00000001450.3
chr1	9728926	9823984	-	ENSG00000171603.18	ENSG00000171603.18	CLSTN1	HGNC:17447	OTTHUMG00000001451.4
chr1	9848276	9910336	-	ENSG00000178585.15	ENSG00000178585.15	CTNNBIP1	HGNC:16913	OTTHUMG00000001796.2
chr1	9922113	9943407	-	ENSG00000162441.12	ENSG00000162441.12	LZIC	HGNC:17497	OTTHUMG00000001804.4
chr1	9943428	9985501	+	ENSG00000173614.14	ENSG00000173614.14	NMNAT1	HGNC:17877	OTTHUMG00000001799.7
chr1	9997206	10016021	+	ENSG00000162444.12	ENSG00000162444.12	RBP7	HGNC:30316	OTTHUMG00000001798.3
chr1	10032832	10181239	+	ENSG00000130939.20	ENSG00000130939.20	UBE4B	HGNC:12500	OTTHUMG00000001797.4
chr1	10210570	10381603	+	ENSG00000054523.20	ENSG00000054523.20	KIF1B	HGNC:16636	OTTHUMG00000001817.2
chr1	10398592	10420511	+	ENSG00000142657.21	ENSG00000142657.21	PGD	HGNC:8891	OTTHUMG00000001905.5
chr1	10430102	10452153	+	ENSG00000251503.8	ENSG00000251503.8	CENPS-CORT	HGNC:38843	OTTHUMG00000162436.4
chr1	10430433	10442808	+	ENSG00000175279.22	ENSG00000175279.22	CENPS	HGNC:23163	OTTHUMG00000059085.11
chr1	10450031	10451998	+	ENSG00000241563.4	ENSG00000241563.4	CORT	HGNC:2257	OTTHUMG00000001906.4
chr1	10456522	10472529	-	ENSG00000160049.12	ENSG00000160049.12	DFFA	HGNC:2772	OTTHUMG00000001909.4
chr1	10472288	10630758	+	ENSG00000142655.13	ENSG00000142655.13	PEX14	HGNC:8856	OTTHUMG00000001908.3
chr1	10636604	10796650	-	ENSG00000130940.15	ENSG00000130940.15	CASZ1	HGNC:26002	OTTHUMG00000002035.6
chr1	10946471	10982076	-	ENSG00000175262.15	ENSG00000175262.15	C1orf127	HGNC:26730	OTTHUMG00000002032.5
chr1	11012344	11030528	+	ENSG00000120948.19	ENSG00000120948.19	TARDBP	HGNC:11571	OTTHUMG00000185649.2
chr1	11022009	11047239	-	ENSG00000009724.18	ENSG00000009724.18	MASP2	HGNC:6902	OTTHUMG00000002121.2
chr1	11054584	11060020	-	ENSG00000116649.10	ENSG00000116649.10	SRM	HGNC:11296	OTTHUMG00000002119.4
chr1	11066618	11099869	-	ENSG00000171824.14	ENSG00000171824.14	EXOSC10	HGNC:9138	OTTHUMG00000002123.3
chr1	11106535	11262556	-	ENSG00000198793.14	ENSG00000198793.14	MTOR	HGNC:3942	OTTHUMG00000002001.4
chr1	11189355	11195981	+	ENSG00000171819.5	ENSG00000171819.5	ANGPTL7	HGNC:24078	OTTHUMG00000002002.4
chr1	11273198	11296049	+	ENSG00000120942.14	ENSG00000120942.14	UBIAD1	HGNC:30791	OTTHUMG00000002075.2
chr1	11479155	11537551	+	ENSG00000204624.8	ENSG00000204624.8	DISP3	HGNC:29251	OTTHUMG00000002074.3
chr1	11637018	11655785	-	ENSG00000116661.11	ENSG00000116661.11	FBXO2	HGNC:13581	OTTHUMG00000002072.6
chr1	11654375	11663327	+	ENSG00000132879.14	ENSG00000132879.14	FBXO44	HGNC:24847	OTTHUMG00000002071.7
chr1	11657230	11691811	-	ENSG00000116670.17	ENSG00000116670.17	MAD2L2	HGNC:6764	OTTHUMG00000002231.6
chr1	11664200	11674354	+	ENSG00000116663.11	ENSG00000116663.11	FBXO6	HGNC:13585	OTTHUMG00000002229.2
chr1	11691710	11725857	+	ENSG00000162490.7	ENSG00000162490.7	DRAXIN	HGNC:25054	OTTHUMG00000002227.2
chr1	11736084	11754802	+	ENSG00000177674.16	ENSG00000177674.16	AGTRAP	HGNC:13539	OTTHUMG00000002230.6
chr1	11761787	11789585	+	ENSG00000215910.8	ENSG00000215910.8	C1orf167	HGNC:25262	OTTHUMG00000002228.2
chr1	11785723	11806455	-	ENSG00000177000.13	ENSG00000177000.13	MTHFR	HGNC:7436	OTTHUMG00000002277.8
chr1	11806096	11848079	+	ENSG00000011021.23	ENSG00000011021.23	CLCN6	HGNC:2024	OTTHUMG00000002299.8
chr1	11845709	11848345	-	ENSG00000175206.11	ENSG00000175206.11	NPPA	HGNC:7939	OTTHUMG00000002388.2
chr1	11857464	11858945	-	ENSG00000120937.9	ENSG00000120937.9	NPPB	HGNC:7940	OTTHUMG00000002389.2
chr1	11919591	11926428	-	ENSG00000116685.17	ENSG00000116685.17	KIAA2013	HGNC:28513	OTTHUMG00000002391.2
chr1	11934205	11975538	+	ENSG00000083444.17	ENSG00000083444.17	PLOD1	HGNC:9081	OTTHUMG00000002393.5
chr1	11980181	12015211	+	ENSG00000116688.18	ENSG00000116688.18	MFN2	HGNC:16877	OTTHUMG00000002392.8
chr1	12019466	12032045	+	ENSG00000116691.11	ENSG00000116691.11	MIIP	HGNC:25715	OTTHUMG00000002439.2
chr1	12063303	12144207	+	ENSG00000120949.15	ENSG00000120949.15	TNFRSF8	HGNC:11923	OTTHUMG00000001827.5
chr1	12166991	12209228	+	ENSG00000028137.19	ENSG00000028137.19	TNFRSF1B	HGNC:11917	OTTHUMG00000001829.2
chr1	12230030	12512047	+	ENSG00000048707.15	ENSG00000048707.15	VPS13D	HGNC:23595	OTTHUMG00000013155.8
chr1	12567909	12620133	-	ENSG00000162496.10	ENSG00000162496.10	DHRS3	HGNC:17693	NA
chr1	12644085	12667076	+	ENSG00000204518.3	ENSG00000204518.3	AADACL4	HGNC:32038	OTTHUMG00000001889.1
chr1	12716110	12728760	+	ENSG00000188984.12	ENSG00000188984.12	AADACL3	HGNC:32037	OTTHUMG00000001887.6
chr1	12746200	12763699	+	ENSG00000157330.10	ENSG00000157330.10	CFAP107	HGNC:28567	OTTHUMG00000001888.5
chr1	12773738	12777906	+	ENSG00000116726.5	ENSG00000116726.5	PRAMEF12	HGNC:22125	OTTHUMG00000001927.2
chr1	12791397	12796628	+	ENSG00000116721.9	ENSG00000116721.9	PRAMEF1	HGNC:28840	OTTHUMG00000001928.2
chr1	12824605	12831410	-	ENSG00000239810.3	ENSG00000239810.3	PRAMEF11	HGNC:14086	OTTHUMG00000001929.5
chr1	12847377	12848720	-	ENSG00000179172.10	ENSG00000179172.10	HNRNPCL1	HGNC:29295	OTTHUMG00000001931.3
chr1	12857086	12861909	+	ENSG00000120952.4	ENSG00000120952.4	PRAMEF2	HGNC:28841	OTTHUMG00000001986.1
chr1	12879212	12886201	-	ENSG00000243073.4	ENSG00000243073.4	PRAMEF4	HGNC:31971	OTTHUMG00000001987.3
chr1	12892896	12898270	-	ENSG00000187545.5	ENSG00000187545.5	PRAMEF10	HGNC:27997	OTTHUMG00000001981.3
chr1	12916610	12920751	+	ENSG00000204510.6	ENSG00000204510.6	PRAMEF7	HGNC:28415	OTTHUMG00000001982.3
chr1	12938472	12947580	-	ENSG00000232423.6	ENSG00000232423.6	PRAMEF6	HGNC:30583	OTTHUMG00000001984.2
chr1	13049476	13056575	-	ENSG00000274764.6	ENSG00000274764.6	PRAMEF27	HGNC:51234	OTTHUMG00000074727.3
chr1	13060769	13062878	+	ENSG00000277058.3	ENSG00000277058.3	HNRNPCL3	HGNC:51235	OTTHUMG00000189236.2
chr1	13068677	13077884	+	ENSG00000229571.7	ENSG00000229571.7	PRAMEF25	HGNC:49179	OTTHUMG00000074741.3
chr1	13115488	13116854	-	ENSG00000275774.3	ENSG00000275774.3	HNRNPCL2	HGNC:48813	OTTHUMG00000009503.5
chr1	13148905	13158116	-	ENSG00000280267.7	ENSG00000280267.7	PRAMEF26	HGNC:49178	OTTHUMG00000009499.3
chr1	13163914	13165631	-	ENSG00000179412.11	ENSG00000179412.11	HNRNPCL4	HGNC:51333	OTTHUMG00000189238.2
chr1	13171848	13179459	+	ENSG00000204505.5	ENSG00000204505.5	PRAMEF9	HGNC:27996	OTTHUMG00000189239.1
chr1	13196188	13201409	-	ENSG00000279169.3	ENSG00000279169.3	PRAMEF13	HGNC:13262	OTTHUMG00000189240.3
chr1	13222695	13226154	-	ENSG00000279804.3	ENSG00000279804.3	PRAMEF18	HGNC:30693	OTTHUMG00000191961.2
chr1	13254198	13263435	+	ENSG00000270601.5	ENSG00000270601.5	PRAMEF5	HGNC:27995	OTTHUMG00000184604.4
chr1	13281304	13285137	-	ENSG00000182330.11	ENSG00000182330.11	PRAMEF8	HGNC:24074	OTTHUMG00000008037.2
chr1	13303539	13308907	+	ENSG00000237700.2	ENSG00000237700.2	PRAMEF33	HGNC:49193	OTTHUMG00000008036.3
chr1	13315581	13322598	+	ENSG00000204501.7	ENSG00000204501.7	PRAMEF15	HGNC:26764	OTTHUMG00000008035.2
chr1	13341892	13347134	-	ENSG00000204481.8	ENSG00000204481.8	PRAMEF14	HGNC:13576	OTTHUMG00000007916.4
chr1	13368431	13371947	-	ENSG00000204480.9	ENSG00000204480.9	PRAMEF19	HGNC:24908	OTTHUMG00000007919.5
chr1	13389632	13392629	+	ENSG00000204479.4	ENSG00000204479.4	PRAMEF17	HGNC:29485	OTTHUMG00000007909.3
chr1	13410450	13421328	+	ENSG00000204478.11	ENSG00000204478.11	PRAMEF20	HGNC:25224	OTTHUMG00000007911.2
chr1	13474973	13514003	-	ENSG00000162494.6	ENSG00000162494.6	LRRC38	HGNC:27005	OTTHUMG00000007918.2
chr1	13583465	13617957	+	ENSG00000162493.17	ENSG00000162493.17	PDPN	HGNC:29602	OTTHUMG00000007912.5
chr1	13700188	13825079	+	ENSG00000116731.23	ENSG00000116731.23	PRDM2	HGNC:9347	OTTHUMG00000007917.6
chr1	13892792	15118043	+	ENSG00000189337.17	ENSG00000189337.17	KAZN	HGNC:29173	OTTHUMG00000002042.8
chr1	15152532	15220478	+	ENSG00000171729.14	ENSG00000171729.14	TMEM51	HGNC:25488	OTTHUMG00000002046.5
chr1	15236521	15400283	+	ENSG00000142621.21	ENSG00000142621.21	FHAD1	HGNC:29408	OTTHUMG00000002088.11
chr1	15409888	15430339	+	ENSG00000142634.13	ENSG00000142634.13	EFHD2	HGNC:28670	OTTHUMG00000002254.2
chr1	15438442	15449242	+	ENSG00000162438.12	ENSG00000162438.12	CTRC	HGNC:2523	OTTHUMG00000002255.2
chr1	15456728	15472091	+	ENSG00000142615.8	ENSG00000142615.8	CELA2A	HGNC:24609	OTTHUMG00000002258.2
chr1	15465909	15491395	+	ENSG00000215704.10	ENSG00000215704.10	CELA2B	HGNC:29995	OTTHUMG00000002259.3
chr1	15490832	15526534	-	ENSG00000132906.18	ENSG00000132906.18	CASP9	HGNC:1511	OTTHUMG00000002256.8
chr1	15526813	15592379	+	ENSG00000116138.13	ENSG00000116138.13	DNAJC16	HGNC:29157	OTTHUMG00000002358.4
chr1	15571699	15585051	-	ENSG00000116771.6	ENSG00000116771.6	AGMAT	HGNC:18407	OTTHUMG00000002357.2
chr1	15617458	15669044	+	ENSG00000197312.13	ENSG00000197312.13	DDI2	HGNC:24578	OTTHUMG00000002381.3
chr1	15659713	15662033	+	ENSG00000215695.2	ENSG00000215695.2	RSC1A1	HGNC:10458	OTTHUMG00000067830.2
chr1	15681461	15734769	+	ENSG00000116786.15	ENSG00000116786.15	PLEKHM2	HGNC:29131	OTTHUMG00000003062.3
chr1	15736258	15741392	+	ENSG00000162461.8	ENSG00000162461.8	SLC25A34	HGNC:27653	OTTHUMG00000003063.2
chr1	15742499	15747982	+	ENSG00000162460.7	ENSG00000162460.7	TMEM82	HGNC:32350	OTTHUMG00000003065.3
chr1	15756607	15786594	+	ENSG00000162458.13	ENSG00000162458.13	FBLIM1	HGNC:24686	OTTHUMG00000003079.8
chr1	15807169	15809348	-	ENSG00000233954.7	ENSG00000233954.7	UQCRHL	HGNC:51714	OTTHUMG00000003109.3
chr1	15836095	15940456	+	ENSG00000065526.13	ENSG00000065526.13	SPEN	HGNC:17575	OTTHUMG00000009376.4
chr1	15941869	15976132	-	ENSG00000116809.12	ENSG00000116809.12	ZBTB17	HGNC:12936	OTTHUMG00000009377.3
chr1	16004236	16008807	+	ENSG00000183888.4	ENSG00000183888.4	SRARP	HGNC:28339	OTTHUMG00000009523.1
chr1	16014028	16019594	-	ENSG00000173641.18	ENSG00000173641.18	HSPB7	HGNC:5249	OTTHUMG00000009531.2
chr1	16018875	16034050	+	ENSG00000186510.12	ENSG00000186510.12	CLCNKA	HGNC:2026	OTTHUMG00000009529.4
chr1	16040252	16057311	+	ENSG00000184908.20	ENSG00000184908.20	CLCNKB	HGNC:2027	OTTHUMG00000009530.2
chr1	16057769	16073651	-	ENSG00000185519.9	ENSG00000185519.9	FAM131C	HGNC:26717	OTTHUMG00000009525.2
chr1	16124337	16156069	-	ENSG00000142627.13	ENSG00000142627.13	EPHA2	HGNC:3386	OTTHUMG00000009527.3
